# E_rel [GeV] (sim)	dN/dE_rel (sim), T=160 MeV	dN/dE_rel (sim), T=180 MeV	dN/dE_rel (sim), T=200 MeV	dN/dE_rel (sim), T=250 MeV	E_rel [GeV] (analytical)	dN/dE_rel_analytical, T= 160 MeV (has to be normalised)	dN/dE_rel_analytical, T= 180 MeV (has to be normalised)	dN/dE_rel_analytical, T= 200 MeV (has to be normalised)	dN/dE_rel_analytical, T= 250 MeV (has to be normalised)
-2	0.0	0.0	0.0	0.0	-1.5	0.	0.	0.	0.
-1.96	0.0	0.0	0.0	0.0	-1.475	0.	0.	0.	0.
-1.92	0.0	0.0	0.0	0.0	-1.45	0.	0.	0.	0.
-1.88	0.0	0.0	0.0	0.0	-1.425	0.	0.	0.	0.
-1.8399999999999999	0.0	0.0	0.0	0.0	-1.4	266.983801476325	0.	0.	0.
-1.7999999999999998	0.0	0.0	0.0	0.0	-1.375	727.866002991966	0.	0.	0.
-1.7599999999999998	0.0	0.0	0.0	0.0	-1.35	1299.0931292072817	0.	0.	0.
-1.7199999999999998	0.0	0.0	0.0	0.0	-1.325	1909.9227344237402	0.	0.	0.
-1.6799999999999997	0.0	0.0	0.0	0.0	-1.3	2511.303616297291	0.	0.	0.
-1.6399999999999997	0.0	0.0	0.0	0.0	-1.275	3070.6234984385856	0.	0.	0.
-1.5999999999999996	0.0	0.0	0.0	0.0	-1.25	3567.7386085420776	86.4133679206208	0.	0.
-1.5599999999999996	0.0	0.0	0.0	0.0	-1.225	3991.2875977427375	193.42085785046584	0.	0.
-1.5199999999999996	0.0	0.0	0.0	0.0	-1.2	4336.928806256563	320.988042116096	0.	0.
-1.4799999999999995	0.0	0.0	0.0	0.0	-1.175	4604.772962692454	457.0907245374496	0.	0.
-1.4399999999999995	0.00030990394375000023	0.0	0.0	0.0	-1.15	4798.166615022145	592.9918096484056	17.96904899255471	0.
-1.3999999999999995	0.0024753231416666686	0.0	0.0	0.0	-1.125	4922.530291940872	722.5226962354878	49.71294703130913	0.
-1.3599999999999994	0.006114737937499998	0.0	0.0	0.0	-1.1	4984.523296442789	841.5363852433323	91.0660616064041	0.
-1.3199999999999994	0.010021087499999987	1.3706820175438595e-06	0.0	0.0	-1.075	4991.388061242398	947.4312166782969	137.8930698276332	0.
-1.2799999999999994	0.013588881124999988	0.00018367756140350873	0.0	0.0	-1.05	4950.569987808242	1038.7774355366207	187.02992684894343	0.
-1.2399999999999993	0.016613702124999997	0.0007539015745614027	0.0	0.0	-1.025	4869.342055685248	1115.142318907898	236.10024615555136	0.
-1.1999999999999993	0.018516087374999986	0.0014406380833333315	2.6048833333333335e-06	0.0	-1.	4754.607116265735	1176.2931776576188	283.36300586319305	0.
-1.1599999999999993	0.020082533958333332	0.0022288082127192963	9.377597291666668e-05	0.0	-975	4612.781068795381	1223.1210604661255	327.5858254567589	0.
-1.1199999999999992	0.02053957741666667	0.003060840469298248	0.00026829957083333335	0.0	-0.95	4449.693373631266	1256.3964441615783	367.9395653437604	4.643855071665536
-1.0799999999999992	0.020512233749999994	0.0034789152039473676	0.00047538402291666686	0.0	-0.9249999999999999	4270.568194767207	1277.1930304400619	403.91329870795863	11.39901886212265
-1.0399999999999991	0.019975756916666667	0.0038736843552631614	0.0007423806104166669	0.0	-0.8999999999999999	4080.0026341758785	1286.7070398352491	435.2427932210542	20.178615984733586
-0.9999999999999991	0.019510911041666683	0.004295872745614037	0.0010184900812500015	0.0	-875	3881.995217636648	1286.1809286310845	461.8531897512392	30.36790115707263
-0.9599999999999991	0.018374153187500006	0.0045042210263157925	0.001153946116666668	5.219033333333333e-06	-0.85	3679.987368723307	1276.859513840771	483.81202045404217	41.44655028891568
-0.919999999999999	0.01729991614583334	0.004598804089912282	0.001332370062500001	5.2171064583333336e-05	-825	3476.8720321274977	1259.9549523324115	501.291275564136	53.00367678527064
-0.879999999999999	0.01606681577083334	0.004454877765350877	0.0013805623145833356	9.912618125e-05	-0.7999999999999999	3275.0642582457917	1236.6208651774168	514.5380180073197	64.7076881556516
-0.839999999999999	0.014789433416666662	0.00442198251535088	0.0014574128187500022	9.39043291666667e-05	-0.7749999999999999	3076.5539070712553	1207.9358216163505	523.8455749246706	76.29637283027995
-0.7999999999999989	0.013387069791666654	0.004324661028508775	0.0015420713041666668	0.00017345991250000012	-0.75	2882.933467450704	1174.8977363399792	529.5429498613087	87.56631276910177
-0.7599999999999989	0.012229476937499996	0.0041354991162280705	0.0016045861000000008	0.00022172942291666666	-725	2695.45575751231	1136.1438621289253	531.9720779544991	98.36355959453952
-0.7199999999999989	0.010936480541666647	0.004073817221491226	0.0016410603541666695	0.00023737392500000019	-0.7	2514.8249986594624	1099.2864185708481	531.4779436573313	108.57514460607527
-0.6799999999999988	0.009798432854166667	0.003733871067982453	0.001642357568750002	0.00023215777500000014	-0.6749999999999999	2342.487738649279	1058.2595594821523	528.4080617843643	118.123670736164
-0.6399999999999988	0.008709859458333328	0.0035652759320175436	0.0016124008250000019	0.00029476027499999996	-0.6499999999999999	2178.1796683800885	1015.966827684596	523.0899008843586	126.9564696939182
-0.5999999999999988	0.007721552958333317	0.0032020268004385984	0.0015368538270833368	0.00032085144166666687	-625	2022.4534564016774	972.878492364222	515.8422448122799	135.04963798018943
-0.5599999999999987	0.006735849312499989	0.0031663917543859653	0.001473040637500002	0.0003730153875	-0.6	1875.4367793605277	929.7514586577549	506.9651507709892	142.3953902623466
-0.5199999999999987	0.006090001270833329	0.0027620199013157908	0.0013909836000000023	0.0003678019354166667	-575	1737.1635108394325	886.7288601650628	496.73358821826287	149.00036565000877
-0.4799999999999987	0.005346485970833331	0.002548190574561403	0.0014001022229166685	0.0003704150249999998	-0.5499999999999999	1607.5411850497069	844.252624226254	485.4101401747308	154.8869574041439
-0.4399999999999987	0.00477095460416666	0.002371370195175439	0.0014079231104166692	0.00039127818541666667	-0.5249999999999999	1486.4099766424572	802.6193311091998	473.2308835208366	160.08578512594275
-0.39999999999999875	0.004225368089583332	0.0021959113530701756	0.0012646477333333355	0.00042910950833333344	-0.5	1373.5412066182514	762.0742845643158	460.41280069683864	164.63540474694722
-0.35999999999999877	0.0037188436645833383	0.0019903023706140336	0.0011383188562500012	0.0004421452666666668	-0.47499999999999987	1268.6611308580066	722.8188719693449	447.06763696258355	168.5814307289822
-0.3199999999999988	0.0032136257937500023	0.0019012029429824545	0.0011174788208333359	0.00042258188124999995	-0.44999999999999996	1171.4676337429314	685.0172362564459	433.6335982289649	171.97488411970673
-0.2799999999999988	0.0029597081625000045	0.0017024461929824558	0.0011018486937500011	0.0004134513916666668	-0.42500000000000004	1081.632278312178	648.8003473837326	420.01538025079736	174.8709279288388
-0.2399999999999988	0.002653712941666668	0.0016147201710526296	0.001018492087500001	0.0004251834416666669	-0.3999999999999999	998.8267343079478	614.2750641446245	406.44868447341736	177.32894705987573
-0.1999999999999988	0.0022513586437499992	0.0015228805877192967	0.0009924518270833338	0.0003991014062499999	-375	922.7187451306282	581.5271506326125	393.07244758958933	179.41231162877645
-0.15999999999999878	0.002280004987499999	0.001357023951754385	0.0009963553229166676	0.00044606811250000013	-0.34999999999999987	852.9902246864964	550.629629827867	380.01311121713655	181.18881579793964
-0.11999999999999877	0.0029297623020833343	0.0017408259495614036	0.0010406357312500011	0.0004630096895833335	-0.32499999999999996	789.34592366627	521.648318437244	367.3991303601499	182.73187361631005
-0.07999999999999877	0.004015726727083339	0.002535856320175438	0.0017791049125000004	0.0006860461625	-0.2999999999999998	731.5299763932253	494.65438673532503	355.3565398866222	184.12239113507434
-0.039999999999998766	0.007726757479166658	0.005055251513157887	0.0034475167208333334	0.0017451077791666655	-0.2749999999999999	679.3369839674892	469.733741438378	344.02069091238957	185.45222709069927
1.2351231148954867e-15	1.8958355000000002	1.6254020175438597	1.4008393125	1.01893856875	-0.25	632.6793428397767	447.0072000220563	333.54936586867854	186.82861468716504
0.040000000000001236	2.7698752500000015	2.4318725219298254	2.143769270833334	1.6149474999999984	-0.22499999999999987	591.5984309836955	426.6659072759596	324.1412540122475	188.38489482362957
0.08000000000000124	2.8310598749999993	2.551091425438597	2.296652624999999	1.7981454374999994	-0.19999999999999996	556.4421228002651	409.03306156063707	316.07394940052643	190.29470214067152
0.12000000000000124	2.6407945624999978	2.4446230701754397	2.2502434583333346	1.8314998124999997	-0.17499999999999982	528.2355589347541	394.71376286408747	309.7843593923451	192.80221739979305
0.16000000000000125	2.3552219791666684	2.2470256578947367	2.111075583333333	1.78561125	-0.1499999999999999	509.9968833699717	384.994788976945	306.0494722105481	196.2832961497257
0.20000000000000126	2.0457822291666665	2.0074792543859648	1.9250350208333336	1.6977582500000008	-125	516.7931815370927	383.42569253741686	306.5674571151643	201.39085458409787
0.24000000000000127	1.7510112499999997	1.7653518421052616	1.7320448541666669	1.5840826874999994	-0.09999999999999987	723.0469262430231	419.41442011341655	316.8309384243646	209.4905207006952
0.28000000000000125	1.4805541666666662	1.5346468640350879	1.5369280833333347	1.4650416458333344	-0.07499999999999996	885.7564828045058	649.5562137824703	463.96338842355954	224.7047584937499
0.32000000000000123	1.2410018125	1.3168445614035083	1.3526859375000002	1.3383598333333337	-0.04999999999999982	1016.8667366808693	812.9897633099835	657.7614771853196	378.4489487163093
0.3600000000000012	1.0290643562500004	1.127635504385964	1.1815699375000004	1.2170694166666656	-0.02499999999999991	1452.5254217065258	988.6180932235525	841.1641683833876	596.1257793952363
0.4000000000000012	0.8535384104166659	0.9584192675438596	1.0265583750000005	1.099085791666667	0.	28234.061919719123	26241.3656643594	22863.731441523953	14659.219761929711
0.44000000000000117	0.7041037312500009	0.811094460526315	0.8871653520833334	0.9882396458333329	0.025000000000000133	538522.4099909986	547583.347079365	554932.7355631976	568513.6487709311
0.48000000000000115	0.5753113479166669	0.6811572434210528	0.7655022770833333	0.8876628875000007	0.050000000000000044	650501.6731652445	673233.3190872413	691986.4068781654	727138.7722239977
0.5200000000000011	0.46900786875	0.574928423245614	0.6549188062500001	0.7895012666666655	0.07500000000000018	681093.8636717174	717320.4581509952	747682.5990077251	805663.4508794603
0.5600000000000012	0.3834979604166667	0.4816844210526317	0.5622228020833334	0.7048893812499994	0.10000000000000009	672507.27937423	720723.6003395886	761773.440964479	841687.3630152064
0.6000000000000012	0.3121433416666667	0.40338962500000025	0.4818451729166672	0.6274915895833327	125	643010.6677606399	701206.6254113347	751532.617102869	851431.1342438161
