#r_rel[fm]	P(r_rel)_boundstates	P(r_rel)_ges
0 0.0145518 0.00016961
0.0024 0.0782158 0.000911652
0.0048 0.225553 0.00262895
0.0072 0.465657 0.00542751
0.0096 0.687572 0.00801406
0.012 1.02408 0.0119787
0.0144 1.39515 0.0162613
0.0168 1.85535 0.0216252
0.0192 2.44834 0.0285368
0.0216 2.94856 0.0343884
0.024 3.39602 0.0396251
0.0264 4.09087 0.0477663
0.0288 4.63838 0.0541055
0.0312 5.20044 0.0606779
0.0336 5.82071 0.0679499
0.036 6.28637 0.073335
0.0384 6.89391 0.0804162
0.0408 7.42869 0.0867342
0.0432 7.90889 0.0922465
0.0456 8.2254 0.0959355
0.048 8.37819 0.0977588
0.0504 8.80565 0.102783
0.0528 9.26585 0.108105
0.0552 9.77152 0.114169
0.0576 9.67694 0.112981
0.06 9.83155 0.114805
0.0624 10.0898 0.117773
0.0648 10.0589 0.117497
0.0672 10.1571 0.118748
0.0696 10.2081 0.119342
0.072 10.1862 0.118939
0.0744 10.0898 0.117773
0.0768 9.85156 0.115038
0.0792 9.88976 0.115843
0.0816 9.65511 0.112833
0.084 9.204 0.107617
0.0864 8.90569 0.104056
0.0888 8.73471 0.102126
0.0912 8.21812 0.0960627
0.0936 8.22903 0.0964231
0.096 7.81249 0.0917589
0.0984 7.37594 0.0864374
0.1008 7.18858 0.0842536
0.1032 6.82842 0.0800346
0.1056 6.35185 0.0745011
0.108 6.32093 0.0743739
0.1104 5.77706 0.0680559
0.1128 5.62608 0.066169
0.1152 5.46238 0.0642609
0.1176 5.09312 0.0599358
0.12 4.76207 0.0560984
0.1224 4.47104 0.0527698
0.1248 4.34007 0.0510949
0.1272 3.74708 0.0443953
0.1296 3.91625 0.0464307
0.132 3.5088 0.0414484
0.1344 3.33782 0.0400703
0.1368 3.22686 0.0384378
0.1392 2.98493 0.0355756
0.1416 2.70481 0.0322895
0.144 2.50654 0.0300421
0.1464 2.39195 0.0289397
0.1488 2.29554 0.0276888
0.1512 2.06817 0.0249538
0.1536 1.91538 0.0231517
0.156 1.91356 0.0233425
0.1584 1.76258 0.0214344
0.1608 1.7062 0.0208196
0.1632 1.50975 0.0185299
0.1656 1.37514 0.0172154
0.168 1.3424 0.0164097
0.1704 1.36241 0.0169186
0.1728 1.12049 0.0140776
0.1752 1.13868 0.0143108
0.1776 0.976788 0.0125299
0.18 1.00953 0.0126783
0.1824 0.864012 0.0111306
0.1848 0.893116 0.0115335
0.1872 0.756693 0.00981616
0.1896 0.758512 0.00975256
0.192 0.760331 0.00979496
0.1944 0.643916 0.0087773
0.1968 0.667563 0.00894691
0.1992 0.58389 0.00795046
0.2016 0.53114 0.00750523
0.204 0.569339 0.00782325
0.2064 0.465657 0.00667838
0.2088 0.467476 0.00686919
0.2112 0.44201 0.00633916
0.2136 0.401993 0.00553352
0.216 0.387441 0.00604235
0.2184 0.416545 0.00614835
0.2208 0.334691 0.0051519
0.2232 0.358338 0.00534271
0.2256 0.296493 0.00443105
0.228 0.28376 0.00472787
0.2304 0.261932 0.00417664
0.2328 0.269208 0.00440985
0.2352 0.23101 0.00409183
0.2376 0.187354 0.00324379
0.24 0.221915 0.00371021
0.2424 0.227372 0.00383742
0.2448 0.216458 0.0035618
0.2472 0.185535 0.00332859
0.2496 0.214639 0.00394343
0.252 0.17644 0.0034346
0.2544 0.163708 0.00330739
0.2568 0.156432 0.003477
0.2592 0.154613 0.00339219
0.2616 0.129147 0.00296817
0.264 0.100044 0.00294697
0.2664 0.132785 0.00307418
0.2688 0.158251 0.00301057
0.2712 0.112776 0.00298937
0.2736 0.0945866 0.00262895
0.276 0.103681 0.00265015
0.2784 0.130966 0.00305298
0.2808 0.0982245 0.00262895
0.2832 0.1055 0.00260775
0.2856 0.0909486 0.00277736
0.288 0.0891297 0.00256535
0.2904 0.0891297 0.00262895
0.2928 0.0873107 0.00277736
0.2952 0.0818538 0.00288337
0.2976 0.0964056 0.00273496
0.3 0.0891297 0.00262895
0.3024 0.0836728 0.00281976
0.3048 0.0927676 0.00265015
0.3072 0.0909486 0.00286216
0.3096 0.0854917 0.00265015
0.312 0.0964056 0.00273496
0.3144 0.0745779 0.00250174
0.3168 0.0891297 0.00277736
0.3192 0.0945866 0.00296817
0.3216 0.0782158 0.00250174
0.324 0.0909486 0.00305298
0.3264 0.0763969 0.00239574
0.3288 0.065483 0.00267135
0.3312 0.0763969 0.00265015
0.3336 0.0636641 0.00256535
0.336 0.0891297 0.00252294
0.3384 0.0873107 0.00248054
0.3408 0.0854917 0.00326499
0.3432 0.0873107 0.00294697
0.3456 0.0800348 0.00275616
0.348 0.0636641 0.00273496
0.3504 0.0836728 0.00290457
0.3528 0.0836728 0.00292577
0.3552 0.0509312 0.00265015
0.3576 0.0709399 0.00290457
0.36 0.065483 0.00235334
0.3624 0.0709399 0.00301057
0.3648 0.0818538 0.00313778
0.3672 0.0782158 0.00311658
0.3696 0.067302 0.00322258
0.372 0.0873107 0.00371021
0.3744 0.0763969 0.00324379
0.3768 0.101862 0.00404943
0.3792 0.0964056 0.00375262
0.3816 0.0800348 0.00311658
0.384 0.0763969 0.0034982
0.3864 0.0709399 0.00318018
0.3888 0.116414 0.00375262
0.3912 0.0763969 0.00392223
0.3936 0.100044 0.00360421
0.396 0.0982245 0.00392223
0.3984 0.109138 0.00375262
0.4008 0.100044 0.00415544
0.4032 0.067302 0.00358301
